Donation ID,Donation date,Donor first name,Donor last name,Donor email,Donor phone number,Gift amount,Currency,Campaign,Fund,Donation type,Payment method,Donation status,Event ID,Event name,Order ID,Source,Created at
cd2adbf8-706b-4989-8d58-0267a0853be4,2025-01-09T09:19:22,Andrew,Collins,linda13@example.org,904-806-0679,45.31,USD,Year End Giving,Education Fund,recurring,card,completed,02bee6b3-ceeb-4a05-8a5c-7ac37db343d3,Downtown Focused asynchronous Graphical User Interface,bb8f61ac-ec92-4db2-81fb-7bf67bed32ab,web,2025-01-09T09:19:22
6d2b09cc-e458-4051-b5fa-6e2bfb248f00,2026-09-11T09:23:12,Wendy,Smith,ubrooks@example.net,849-499-9635,39.94,USD,Community Fundraiser,Emergency Fund,one-time,card,completed,c4883ecd-5bac-4a76-b354-98ece2946bcc,Live Secured foreground protocol,44e12f25-f8e0-4da8-8477-373835e06677,android,2026-09-11T09:23:12
0ae12b1e-71fa-49ad-b43e-41b553079a65,2026-10-26T21:51:25,Ashley,Fowler,richardramos@example.com,026-755-1254,56.35,USD,Community Fundraiser,Emergency Fund,one-time,card,completed,15f67a6b-57a4-4379-a9cd-6acd687c65ec,Downtown Fully-configurable user-facing alliance,20881f46-1104-4ff0-9311-e17c62e566a3,android,2026-10-26T21:51:25
0b04a71d-cb98-4a49-99de-46333d8cb85c,2025-01-21T10:38:23,Denise,Green,johnsoncaitlin@example.com,327-056-1465,26.83,USD,Community Fundraiser,Education Fund,one-time,card,completed,dd862133-df9e-4559-9a00-aa414e5afd3a,Live Managed systematic monitoring,d8541d58-a704-4d67-a9b3-c2218ddd70c4,web,2025-01-21T10:38:23
ce706caa-5b04-45fe-bad7-f922dcb064eb,2026-04-27T07:33:53,Aaron,Robertson,gtucker@example.com,207-710-7404,22.74,USD,Scholarship Drive,Emergency Fund,one-time,card,completed,c67c1aee-4987-4852-bfe5-495d1f0e5a88,Downtown Future-proofed bottom-line website,12a827ef-a0e7-4a98-98db-a3b7181029c5,web,2026-04-27T07:33:53
1a645fa3-5caf-424f-825c-7aa55e633424,2026-03-14T15:58:17,Eric,Schwartz,shane05@example.org,031-329-8871,10.74,USD,Scholarship Drive,Emergency Fund,one-time,card,failed,09eaf6c9-d4bb-4e80-b4dc-97612608d6b4,Downtown Function-based actuating project,075a615a-bccf-437b-83f8-871d051f7723,ios,2026-03-14T15:58:17
39725b7e-d32f-4bc5-aa6b-600157955503,2025-04-30T13:38:32,Clarence,Hernandez,brandonyang@example.org,650-640-3684,36.19,USD,Scholarship Drive,Education Fund,one-time,card,completed,9d1ee14f-2c09-4320-9011-a5d9aca96a3a,Live Realigned next generation matrices,77eebd80-280c-48a5-b8be-5d34c990cdf8,ios,2025-04-30T13:38:32
dc03f159-4643-49bf-8857-2466994815c8,2025-08-31T23:44:49,Charles,Morgan,littleallison@example.net,752-235-6551,30.12,USD,Scholarship Drive,Education Fund,one-time,ach,completed,f78c7e0e-2e71-4a5e-9963-77523a09c2e6,Live Business-focused executive methodology,36f0085d-c1ea-4252-ab1d-9cc5295235a7,web,2025-08-31T23:44:49
0d1d41da-9312-4dbb-9f99-4aeeb7d4f720,2026-04-21T03:42:58,Gregory,Ferguson,lwilson@example.org,787-158-4156,42.72,USD,Scholarship Drive,Education Fund,recurring,card,completed,dd761df8-8afc-4f38-9871-1d9341c173bb,Annual Intuitive bottom-line encoding,80063b5a-93df-4a56-b24a-fa40d0ecb31a,web,2026-04-21T03:42:58
b8c47e55-9fca-4a8c-aea8-d11e5785dc71,2026-03-05T11:34:09,Lisa,Peters,fwheeler@example.net,068-596-4652,170.58,USD,Relief Fund,General Fund,one-time,card,completed,ccc99789-736e-489f-b2b3-90457f6b3b48,Live Integrated system-worthy paradigm,4aca1add-71fb-4513-9004-6a6cdd24dba5,web,2026-03-05T11:34:09
